Name / Date,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05
Jerrod Tate,5.2,5,5.1,4.9,5,4.7,0
Bianca Wright,5.4,8.2,8,8.1,8,0,0
Wayne Payne,6.5,8,9,8,8,0,0
Drew Hudson,7,7,7,7,6.2,0,0
Archie Klein,7,0,6.2,0,0,6,6
Rosella Dunlap,7.9,8.8,8.1,7.9,9.8,0,0
Latonya Small,8,7,7,8,8,0,3
Ezekiel Harrington,8,6.4,7.7,8.2,7.7,0,0
Viola Hayes,8,8,8,8,8,0,0
Lawerence Proctor,8,6.4,8,8.2,7.7,0,0
Myrna Johns,8,8,8,8,8,8,8
Barbra Pearson,8,6.4,8,8.2,7.7,0,0
Ola Potts,8,8,8,8,8,0,0
Joan Sutton,8,8,8,8,8,0,0
Antonia Sandoval,8,6.4,8,8.2,7.7,0,0
Celia Cantrell,8,6.4,8,8.2,7.7,0,0
Lonnie Perez,8,8,8,8,8,8,8
Marquita Young,8,8,8,8,8,8,8
Imelda Norris,8,6.4,8,8.2,7.7,0,0
Houston Mccormick,8,6.4,8,8.2,7.7,0,0
Jami Keller,8,8,8,8,8,8,8
Duane Crawford,8,8,8,8,8,8,8
Luella Hodges,8,8,8,8,8,8,8
Guadalupe Murray,8,6.4,8,8.2,7.7,0,0
Stella Mccall,8,8,8,8,8,8,8
Flossie Sosa,8,6.4,8,8.2,7.7,0,0
Timmy Bender,8,8,8,8,8,0,0
Giuseppe Simon,8,8,8,8,8,8,8
Claudio Le,8,8,8,8,8,8,8
Sterling Lutz,8,6.4,8,8.2,7.7,0,0
Ross Hendrix,8,8,8,8,0,8,0
Alva Singleton,8,8,8,8,8,8,8
Carmen Wade,8,6.4,8,8.2,7.7,0,0
Lelia Brooks,8,8,8,8,8,0,0
Bettie Parks,8,8,8,8.1,8,0,0
King Sanders,8,8,8,8,8,8,8
Conrad Jackson,8,8,8,8.1,8,0,0
Jennifer Larsen,8,8,8,8,8,0,0
Sheri Zuniga,8,8,8,8,8,8,8
Rodolfo Combs,8,8,8,8,8,0,0
Bryant Hammond,8,8,8,8,8,0,0
Isaac Nelson,8,7,7,8,7,1,0
Heath Mcdaniel,8,6,7,8,8,0,0
Randal Melendez,8,8,8,8,8,8,8
Luann Cooper,8,8,8,8.1,8,0,0
Fannie Lara,0,6.4,8,8.2,7.7,0,0
Katherine Robinson,0,0,1,0,0,0,0
Jamaal Dawson,0,0,5.1,2.8,0,0,0
Mikel Swanson,0,0,5.1,2.8,0,0,0
Adan Cain,0,0,5.1,2.8,0,0,0
